 e,E ->m,M
x-axis: "Sqrt(S)"  from 5.000000 to 200.000000 N_points= 100
Cross Section [pb]
5.000000E+00 3.988136E+03
6.969697E+00 2.052480E+03
8.939394E+00 1.247634E+03
1.090909E+01 8.377690E+02
1.287879E+01 6.011078E+02
1.484848E+01 4.522138E+02
1.681818E+01 3.525033E+02
1.878788E+01 2.824811E+02
2.075758E+01 2.314350E+02
2.272727E+01 1.930828E+02
2.469697E+01 1.635424E+02
2.666667E+01 1.403104E+02
2.863636E+01 1.217135E+02
3.060606E+01 1.065992E+02
3.257576E+01 9.415263E+01
3.454545E+01 8.378463E+01
3.651515E+01 7.506083E+01
3.848485E+01 6.765541E+01
4.045455E+01 6.132029E+01
4.242424E+01 5.586408E+01
4.439394E+01 5.113745E+01
4.636364E+01 4.702283E+01
4.833333E+01 4.342697E+01
5.030303E+01 4.027561E+01
5.227273E+01 3.750961E+01
5.424242E+01 3.508216E+01
5.621212E+01 3.295689E+01
5.818182E+01 3.110657E+01
6.015152E+01 2.951262E+01
6.212121E+01 2.816523E+01
6.409091E+01 2.706435E+01
6.606061E+01 2.622198E+01
6.803030E+01 2.566636E+01
7.000000E+01 2.544957E+01
7.196970E+01 2.566115E+01
7.393939E+01 2.645361E+01
7.590909E+01 2.809251E+01
7.787879E+01 3.106171E+01
7.984848E+01 3.630475E+01
8.181818E+01 4.584522E+01
8.378788E+01 6.464375E+01
8.575758E+01 1.074885E+02
8.772727E+01 2.342666E+02
8.969697E+01 8.337143E+02
9.166667E+01 1.850339E+03
9.363636E+01 4.423244E+02
9.560606E+01 1.674271E+02
9.757576E+01 8.978546E+01
9.954545E+01 5.802041E+01
1.015152E+02 4.192871E+01
1.034848E+02 3.258534E+01
1.054545E+02 2.662137E+01
1.074242E+02 2.253959E+01
1.093939E+02 1.959237E+01
1.113636E+02 1.737229E+01
1.133333E+02 1.564168E+01
1.153030E+02 1.425406E+01
1.172727E+02 1.311504E+01
1.192424E+02 1.216143E+01
1.212121E+02 1.134957E+01
1.231818E+02 1.064842E+01
1.251515E+02 1.003540E+01
1.271212E+02 9.493706E+00
1.290909E+02 9.010601E+00
1.310606E+02 8.576269E+00
1.330303E+02 8.183022E+00
1.350000E+02 7.824758E+00
1.369697E+02 7.496568E+00
1.389394E+02 7.194461E+00
1.409091E+02 6.915157E+00
1.428788E+02 6.655928E+00
1.448485E+02 6.414494E+00
1.468182E+02 6.188926E+00
1.487879E+02 5.977581E+00
1.507576E+02 5.779052E+00
1.527273E+02 5.592123E+00
1.546970E+02 5.415738E+00
1.566667E+02 5.248975E+00
1.586364E+02 5.091024E+00
1.606061E+02 4.941168E+00
1.625758E+02 4.798774E+00
1.645455E+02 4.663276E+00
1.665152E+02 4.534168E+00
1.684848E+02 4.410996E+00
1.704545E+02 4.293350E+00
1.724242E+02 4.180860E+00
1.743939E+02 4.073191E+00
1.763636E+02 3.970036E+00
1.783333E+02 3.871117E+00
1.803030E+02 3.776178E+00
1.822727E+02 3.684986E+00
1.842424E+02 3.597324E+00
1.862121E+02 3.512995E+00
1.881818E+02 3.431815E+00
1.901515E+02 3.353616E+00
1.921212E+02 3.278239E+00
1.940909E+02 3.205539E+00
1.960606E+02 3.135381E+00
1.980303E+02 3.067637E+00
2.000000E+02 3.002190E+00
