type, lepton.pt(), lepton.eta(), lepton.phi(), b_jet.pt(), b_jet.eta(), b_jet.phi(), etmiss.et(), etmiss.phi(), InvMass, TransMass, lepton.isTruth()
1, 5.786315e+01, -1.364460e+00, 1.446365e-01, 5.924943e+01, -1.380901e+00, 1.211703e+00, 2.131445e+02, 8.468356e-01, 6.003924e+01, 7.639039e+01, 1
1, 1.630663e+02, -2.809205e-01, -1.436353e+00, 6.918577e+01, 5.831216e-02, 1.387866e+00, 1.777081e+02, -9.853663e-01, 2.133974e+02, 7.612252e+01, 1
1, 4.327824e+02, 8.537808e-01, -2.203155e+00, 1.859812e+02, -6.635484e-01, 1.260316e+00, 2.037867e+02, 8.042092e-01, 7.333646e+02, 5.926168e+02, 1
1, 8.814656e+01, 4.977584e-01, -1.715676e+00, 5.169405e+02, -1.884590e-01, 1.238943e+00, 1.653142e+02, -1.690109e+00, 4.572737e+02, 3.086146e+00, 1
1, 4.738711e+01, 1.884573e+00, -2.635404e+00, 1.418421e+02, -9.324605e-01, -4.688498e-02, 1.225549e+02, 2.722108e+00, 3.531847e+02, 6.805114e+01, 1
1, 8.796990e+01, -1.113684e+00, -1.596833e+00, 7.448204e+02, 3.397987e-01, 1.495548e+00, 4.027049e+02, -1.552531e+00, 6.661812e+02, 8.337782e+00, 1
1, 3.893064e+01, 7.281796e-01, -7.788427e-01, 5.030501e+01, -1.770377e+00, 9.377404e-02, 9.101408e+01, -2.333287e+00, 1.467676e+02, 8.349011e+01, 1
1, 1.631973e+02, -3.315950e-01, 1.542020e+00, 3.529171e+02, -2.692840e-01, 2.237417e+00, 1.117649e+02, 2.153992e+00, 1.661096e+02, 8.136594e+01, 1
1, 9.446795e+01, -6.452823e-01, 1.645665e+00, 2.516629e+02, -4.097250e-01, 1.035177e+00, 1.564919e+02, -2.025929e+00, 1.068011e+02, 2.346859e+02, 1
1, 4.245326e+02, -4.193641e-01, -5.518147e-01, 7.245298e+01, 7.547657e-03, -7.562908e-01, 4.243393e+02, -5.714151e-01, 8.589449e+01, 8.319002e+00, 1
1, 3.211642e+02, 9.073207e-01, 7.431665e-01, 1.593071e+02, -1.000908e+00, -2.126674e+00, 1.347159e+02, 1.077425e+00, 6.737470e+02, 6.920413e+01, 1
1, 2.126389e+02, -8.759657e-01, -2.524336e+00, 9.821006e+01, -5.932671e-01, 2.723406e+00, 1.342809e+02, -6.294289e-01, 1.498085e+02, 2.743961e+02, 1
1, 5.744868e+01, 1.510749e-01, 2.846134e+00, 2.622356e+02, 9.682068e-01, -2.660566e+00, 3.245354e+01, -1.956264e+00, 1.411714e+02, 5.825502e+01, 1
1, 2.904753e+02, 6.895598e-01, 8.044126e-01, 1.454798e+02, 8.647964e-01, 1.965598e-01, 2.923374e+02, 5.334992e-01, 1.324196e+02, 7.870429e+01, 1
1, 2.342449e+02, 2.516778e-01, 1.484176e+00, 2.801082e+02, 2.788757e-01, 1.010489e+00, 1.822498e+02, 1.312166e+00, 1.223442e+02, 3.549654e+01, 1
1, 7.179693e+01, -6.555750e-01, 1.491130e+00, 2.563131e+01, 1.293592e+00, -1.207825e+00, 2.426670e+02, 9.244859e-01, 1.286914e+02, 7.379767e+01, 1
1, 2.530070e+02, 8.948894e-01, -1.416612e+00, 2.065609e+02, 4.741031e-01, -9.229937e-01, 1.283821e+02, -2.456948e+00, 1.506789e+02, 1.791544e+02, 1
1, 3.275428e+01, 1.076634e+00, -8.471485e-01, 3.132468e+02, 1.243131e+00, -2.006621e+00, 5.968062e+01, -2.928951e+00, 1.164661e+02, 7.629938e+01, 1
1, 1.163081e+02, -1.177623e-01, -1.013750e+00, 5.418622e+02, -5.532005e-01, -1.040018e+00, 1.724708e+02, -1.627104e+00, 1.137854e+02, 8.551543e+01, 1
1, 1.007234e+02, -1.012390e+00, -1.487543e+00, 7.308362e+01, -9.418710e-01, 1.102464e+00, 1.842424e+02, -1.284496e+00, 1.659919e+02, 2.761273e+01, 1
1, 9.401998e+01, -4.707045e-01, -1.854720e-01, 4.205391e+02, 1.638580e+00, -3.048716e+00, 2.074102e+02, -1.420954e-02, 6.381474e+02, 2.388671e+01, 1
1, 2.229687e+02, -1.489404e+00, -1.820344e+00, 6.612693e+01, 8.517330e-01, 1.409842e+00, 1.646412e+02, 7.194223e-01, 4.294311e+02, 3.659778e+02, 1
1, 1.942347e+02, -7.711800e-01, -2.097382e+00, 6.944998e+01, -2.996053e-01, -1.815534e+00, 4.886282e+02, -2.299734e+00, 6.576616e+01, 6.223261e+01, 1
1, 3.337947e+01, -3.488668e-01, -8.406225e-01, 4.427679e+02, 4.138720e-01, -1.463702e+00, 6.927814e+01, -8.791754e-01, 1.246913e+02, 1.853821e+00, 1
1, 1.599034e+02, 2.147561e-01, 1.465642e+00, 4.069111e+02, -2.647583e-01, 1.550806e+00, 4.172114e+01, 5.255799e-01, 1.267421e+02, 7.398655e+01, 1
1, 1.083775e+02, -1.155824e+00, 7.529131e-02, 4.336811e+02, -7.533990e-01, 1.521527e-01, 3.669131e+02, 1.207674e-01, 9.474515e+01, 9.067701e+00, 1
1, 3.148082e+01, -5.166138e-01, 3.682121e-01, 1.024764e+02, -1.099419e+00, 1.377882e-01, 5.521613e+02, 1.469176e-01, 3.864120e+01, 2.911656e+01, 1
1, 3.699533e+02, -1.495973e+00, -1.320317e+00, 1.217974e+02, -1.838886e+00, -1.076607e+00, 1.383799e+02, -1.357169e+00, 9.898909e+01, 8.337784e+00, 1
1, 6.896130e+01, -1.214864e+00, -5.734089e-01, 1.563193e+02, 1.482010e-01, -2.661350e+00, 9.729442e+01, 1.820551e-02, 2.362848e+02, 4.775659e+01, 1
1, 1.356639e+02, -2.067369e+00, 3.125726e-01, 2.156471e+02, -2.434692e+00, -2.243631e-01, 4.541754e+01, 1.871696e+00, 1.121935e+02, 1.103594e+02, 1
1, 4.169620e+01, 9.660237e-01, 4.341826e-01, 7.719190e+01, -6.497533e-01, 3.058484e+00, 3.034666e+02, 8.312351e-02, 1.503578e+02, 3.928723e+01, 1
1, 1.027534e+02, 1.320111e+00, 1.203499e+00, 1.698946e+02, 9.654995e-01, -1.963535e+00, 8.707302e+01, 3.180087e-01, 2.712915e+02, 8.104777e+01, 1
1, 5.585655e+01, -8.786529e-01, -2.038980e+00, 2.701152e+02, -8.592887e-01, -2.703132e+00, 1.011481e+02, -2.694348e+00, 8.409511e+01, 4.838385e+01, 1
1, 1.266834e+02, 1.131725e+00, -2.896856e+00, 5.465887e+01, 1.193640e+00, 2.626261e+00, 2.106422e+02, -2.461189e+00, 6.357744e+01, 7.060702e+01, 1
1, 4.178096e+01, 3.705011e-01, -2.032337e+00, 5.934432e+02, 4.626240e-01, -1.154303e+00, 3.682664e+02, -1.350077e+00, 1.413854e+02, 8.299736e+01, 1
1, 1.639192e+02, -2.853201e-01, 3.638278e-01, 3.018674e+01, 1.302508e+00, 1.161047e+00, 1.184052e+02, 3.089861e+00, 1.355101e+02, 2.726385e+02, 1
1, 2.063549e+02, -1.438352e-01, -6.419638e-01, 8.559055e+01, -1.529953e+00, 2.227941e+00, 5.127722e+02, -4.264658e-01, 3.304336e+02, 6.996361e+01, 1
1, 4.689047e+01, 5.929152e-01, 3.110522e+00, 3.189191e+02, 9.084080e-01, 2.574301e+00, 6.216094e+02, 2.852404e+00, 9.072470e+01, 4.394527e+01, 1
1, 6.711819e+02, 1.955057e-01, -3.103516e-01, 4.735323e+01, 3.014853e-01, 2.659382e+00, 3.172177e+02, -2.476261e-01, 3.566372e+02, 2.893821e+01, 1
1, 4.273378e+02, -9.066162e-01, 9.265744e-01, 1.379146e+02, -4.235277e-01, 1.033790e+00, 1.061254e+02, 6.939873e-01, 1.236083e+02, 4.941987e+01, 1
1, 2.881914e+02, -8.026757e-01, 1.872047e+00, 1.840023e+02, 1.390878e+00, -2.156520e+00, 1.930707e+02, 1.943083e+00, 7.410686e+02, 1.675271e+01, 1
1, 2.647650e+01, 2.252928e+00, 9.675011e-01, 1.840563e+02, 7.073117e-01, 1.746100e+00, 1.521023e+02, 1.479655e+00, 1.333420e+02, 3.214710e+01, 1
1, 5.225733e+02, 5.812106e-02, 1.845005e+00, 9.284671e+01, 5.615401e-01, 1.684161e+00, 2.736848e+02, 1.650377e+00, 1.234088e+02, 7.348846e+01, 1
1, 9.760034e+01, -1.213310e+00, 7.418447e-01, 2.750211e+01, 8.869261e-01, -2.867955e+00, 1.068616e+02, -1.750052e-01, 1.647578e+02, 9.038892e+01, 1
1, 3.338073e+01, -1.859095e+00, -2.386725e+00, 4.790738e+02, -1.363052e+00, -2.704614e+00, 4.190557e+02, -2.509330e+00, 7.847827e+01, 1.449176e+01, 1
1, 2.846351e+02, 1.348260e+00, -2.923414e+00, 1.190914e+02, 7.086009e-01, 3.102105e+00, 1.766082e+02, -2.963012e+00, 1.328238e+02, 8.877735e+00, 1
1, 3.620895e+01, 9.574063e-01, 2.547976e+00, 6.296321e+02, 5.246840e-02, 2.515390e+00, 2.171817e+02, 2.349757e+00, 1.466348e+02, 1.754906e+01, 1
1, 1.180390e+02, -1.036942e+00, -6.369700e-01, 1.298812e+02, 7.180378e-01, -1.135498e+00, 3.055904e+01, 2.149043e+00, 2.544275e+02, 1.182258e+02, 1
1, 1.500192e+02, 1.314716e+00, 2.401966e+00, 5.357331e+01, 1.919527e+00, -2.837574e+00, 1.979360e+02, -2.505149e-01, 1.055163e+02, 3.343854e+02, 1
1, 1.808869e+02, 2.180235e+00, 2.435133e+00, 1.736453e+02, -1.375179e+00, 5.228348e-02, 6.248667e+01, 1.768613e+00, 1.071027e+03, 6.955711e+01, 1
1, 1.173506e+02, 2.394422e+00, -1.559514e+00, 6.400791e+01, -1.264012e+00, 1.161517e+00, 1.126098e+02, -1.423084e+00, 5.528206e+02, 1.567122e+01, 1
1, 1.220654e+02, -1.782810e+00, -2.233710e+00, 1.734869e+02, 1.722287e+00, 1.107095e+00, 1.872218e+02, -2.605300e+00, 8.644940e+02, 5.585174e+01, 0
1, 3.290256e+01, -6.014588e-01, 1.692790e+00, 1.918914e+02, -1.929722e+00, 2.501818e+00, 1.115658e+02, 1.637593e+00, 1.319607e+02, 3.343774e+00, 1
1, 1.656921e+02, -8.014923e-01, 9.795437e-01, 1.273853e+02, -1.476904e+00, 1.469639e+00, 5.947913e+01, -3.040407e+00, 1.238491e+02, 1.797051e+02, 1
1, 3.609416e+01, -4.682938e-01, -2.441584e+00, 2.272751e+02, 2.903039e-01, 2.241210e-01, 3.666918e+01, 1.787712e+00, 1.903954e+02, 6.226326e+01, 1
1, 1.034680e+02, 7.694558e-02, -3.753526e-01, 3.644020e+01, 1.017644e+00, -8.935348e-01, 4.450495e+02, -7.476983e-01, 6.856165e+01, 7.944046e+01, 1
1, 2.637190e+02, -1.237959e+00, -2.522596e+00, 4.075598e+01, 1.357350e+00, 9.549577e-01, 5.822367e+01, -2.049458e+00, 4.067591e+02, 5.808309e+01, 1
1, 2.581196e+02, -6.193056e-01, -3.077387e-01, 5.920199e+01, -1.417251e+00, -3.442176e-01, 1.908948e+02, -2.207276e+00, 1.039732e+02, 3.610589e+02, 1
1, 4.234418e+01, -1.338353e+00, -3.768298e-01, 5.690085e+02, 5.749156e-01, 2.417523e+00, 6.291082e+02, -7.492775e-01, 4.667335e+02, 6.043824e+01, 1
1, 1.730990e+02, -2.051087e-01, -4.508552e-02, 2.391341e+02, -6.694856e-01, -3.951212e-01, 8.694648e+01, -4.591408e-01, 1.208405e+02, 5.043416e+01, 1
1, 4.610914e+01, -3.703161e-01, 2.990437e+00, 1.309516e+02, -1.126893e+00, 7.584519e-01, 5.174474e+01, -2.946747e+00, 1.527773e+02, 1.681652e+01, 1
1, 1.111868e+02, 8.681149e-01, 9.046195e-01, 9.497543e+01, 1.694605e+00, 1.146560e+00, 3.587159e+02, 1.090610e+00, 9.237031e+01, 3.709077e+01, 1
1, 3.421663e+02, -6.064487e-01, 1.139338e+00, 7.438377e+01, -7.708824e-02, 1.181089e+00, 1.050848e+02, -2.126310e+00, 8.803405e+01, 3.785146e+02, 1
1, 1.054152e+02, 3.765943e-01, 3.124250e-02, 6.931110e+02, 6.877515e-01, 3.186600e-01, 3.402855e+02, -2.684134e+00, 1.255224e+02, 3.702253e+02, 1
1, 6.109954e+01, -2.205858e+00, -2.714586e-01, 4.712451e+01, -7.918316e-02, -1.850294e+00, 5.503850e+01, 2.852728e+00, 1.577534e+02, 1.159754e+02, 1
1, 6.855073e+01, -1.263394e-01, 1.638054e+00, 2.575508e+02, -4.948381e-01, -1.266480e+00, 2.028484e+02, -1.061913e+00, 2.713102e+02, 2.301160e+02, 1
1, 1.939479e+02, 6.945527e-01, 6.061008e-02, 8.438505e+01, 5.244533e-01, 9.795665e-01, 3.239709e+02, 2.858241e-01, 1.182595e+02, 5.633429e+01, 1
1, 7.819132e+01, -8.459492e-01, -1.334671e+00, 4.183431e+02, -1.010281e+00, -2.156453e+00, 5.814870e+01, 8.842956e-02, 1.555767e+02, 8.806396e+01, 1
1, 9.560587e+01, 1.516534e+00, 3.085205e+00, 5.553180e+01, 1.028534e+00, -2.787823e+00, 1.070042e+02, 2.189118e+00, 4.944399e+01, 8.763231e+01, 1
1, 1.219796e+02, 1.869667e+00, 1.849942e+00, 1.705838e+02, 2.320451e+00, 2.568664e+00, 5.198562e+01, -2.485452e+00, 1.211325e+02, 1.317236e+02, 1
1, 1.055326e+02, -2.086167e+00, -2.791325e+00, 9.746493e+01, -1.544722e+00, -2.450551e+00, 6.449478e+01, 1.253539e+00, 7.049308e+01, 1.484568e+02, 1
1, 1.179896e+02, -1.302409e+00, -1.265471e+00, 1.220709e+02, -3.763458e-01, -1.318662e+00, 5.673433e+01, -2.552274e+00, 1.218525e+02, 9.816763e+01, 1
1, 4.734628e+02, 1.080463e+00, 2.569947e+00, 6.279682e+02, 1.192156e-01, -4.383143e-01, 2.914035e+02, 2.657983e+00, 1.220451e+03, 3.268986e+01, 1
